City,Brand,Model,Body,Certification,Exterior_Color,Interior_Color,Transmission_Type,Fuel_Type,Engine_Type,Wheel_Drive_Type,Miles_Per_Gallon,Year,Zip_Code,Mileage,Price
Memphis,Ford,F350,TRUCKS,Used,White,Camelback,Automatic,Diesel,8-Cylinder Turbo,4 wheel drive,,2019,38115,"7,517",86989
Memphis,Cadillac,XT5,SUV,Used,White,Gray,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,19 City / 26 Highway,2018,38115,"31,427",32781
Memphis,BMW,320i xDrive,SEDAN,Used,Blue,Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,23 City / 34 Highway,2017,38109,"37,476",24888
Memphis,Mercedes-Benz,CLA 250,SEDAN,Used,Red,Black,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,24 City / 37 Highway,2018,38109,"50,566",28957
Memphis,Mercedes-Benz,E 300,SEDAN,Used,Blue,Macchiato Beige / Black,Automatic,Gasoline,4-Cylinder Turbo,All wheel drive,21 City / 29 Highway,2018,38109,"18,198",42950
Memphis,Toyota,C-HR,SUV,Used,White,Other,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,27 City / 31 Highway,2019,38016,"23,549",27443
Memphis,Chevrolet,Corvette,COUPE,Used,Gray,Adrenaline Red,Manual,Gasoline,8-Cylinder,2 wheel drive - rear,17 City / 28 Highway,2014,38133,"26,346",46495
Memphis,RAM,2500,TRUCKS,Used,Black,Black,Automatic,Diesel,6-Cylinder Turbo,2 wheel drive - rear,,2019,38133,"23,358",57520
Memphis,Chevrolet,Camaro,CONVERT,Used,Red,Gray,Automatic,Gasoline,8-Cylinder,2 wheel drive - rear,,2013,38128,"122,821",18425
Memphis,Toyota,Camry,SEDAN,Used,Silver,Black,Automatic,Gasoline,4-Cylinder,2 wheel drive - front,24 City / 33 Highway,2017,38128,"38,100",23715
Memphis,Nissan,Titan,TRUCKS,Used,White,Black,Automatic,Gasoline,8-Cylinder,4 wheel drive,15 City / 21 Highway,2018,38128,"27,569",29495
Memphis,Honda,CR-V,SUV,Used,Black,,Automatic,Gasoline,4-Cylinder Turbo,2 wheel drive - front,28 City / 34 Highway,2020,38128,"10,203",33425
Memphis,Honda,Passport,SUV,Used,Gray,Black,Automatic,Gasoline,6-Cylinder,2 wheel drive - front,20 City / 25 Highway,2019,38128,"25,709",35425
Memphis,Ford,Edge,SUV,Used,White,Ebony,Automatic,Gasoline,6-Cylinder Turbo,All wheel drive,19 City / 26 Highway,2019,38128,"31,346",37944
Memphis,Nissan,Rogue,SUV,Certified,Black,Charcoal,Automatic,Gasoline,4-Cylinder,All wheel drive,25 City / 32 Highway,2018,38128,"39,028",22344
Memphis,Pontiac,Solstice,CONVERT,Used,Silver,Ebony,Automatic,Gasoline,4-Cylinder,2 wheel drive - rear,19 City / 24 Highway,2008,38115,"99,502",9525
